"2025-11-24 02:58:25 INFO  c.e.w.WhodoPaymentorderServiceApplication - Starting WhodoPaymentorderServiceApplication using Java 21.0.6 with PID 76992 (C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service\target\classes started by Gonzalo Diaz Mizzau in C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service)
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017 to client view of cluster
""2025-11-24 02:58:27 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoints beneath base path '/actuator'
""2025-11-24 02:58:27 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8444 (http) with context path '/'
""2025-11-24 02:58:27 INFO  c.e.w.WhodoPaymentorderServiceApplication - Started WhodoPaymentorderServiceApplication in 2.841 seconds (process running for 3.154)
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=137652800, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e463aa35e15cdc5609bb4, counter=3}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201678214700}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=139338900, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000031, setVersion=5, topologyVersion=TopologyVersion{processId=691e43f60a2425fc18edcb4f, counter=6}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201678226000}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017 with max election id 7fffffff0000000000000031 and max set version 5
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=143473600, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e44c8a579ae2ebb1b35bb, counter=4}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201684058300}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=146155600, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000031, setVersion=5, topologyVersion=TopologyVersion{processId=691e43f60a2425fc18edcb4f, counter=6}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201697945600}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017 with max election id 7fffffff0000000000000031 and max set version 5
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=156821600, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e44c8a579ae2ebb1b35bb, counter=4}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201706726100}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=157192700, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e463aa35e15cdc5609bb4, counter=3}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201707326400}
"
